t;s1;s2;s3;phi;ins;
1603541182.1213279;140.8;202.9;25.6;356.6733609385316;1024;1024;
1603541182.3349695;139.7;176.8;26.7;351.14807482593426;1024;1024;
1603541182.5490856;132.4;202.7;26.8;354.5062873835245;1024;1024;
1603541182.7629569;127.4;201.6;26.8;357.26726791849774;1024;1024;
1603541182.9758003;117.3;201.6;26.4;352.3937282192136;1024;1024;
1603541183.1777568;108.8;202.2;128.0;351.26136764137107;1024;1024;
1603541183.3784678;105.7;184.0;128.8;350.1399790748221;1024;1024;
1603541183.5917237;96.9;184.6;129.7;347.91817016270943;1024;1024;
1603541183.8053303;92.3;182.6;131.3;350.7042855470999;1024;1024;
1603541184.0187964;84.9;181.6;133.0;348.9879182459508;1024;1024;
1603541184.2330525;74.4;180.9;137.3;357.0970610778902;1024;1024;
1603541184.4460206;69.2;179.8;139.9;348.5431220392369;1024;1024;
1603541184.6586807;62.3;179.8;143.1;347.5745306019577;1024;1024;
1603541184.8722937;54.7;180.6;127.8;351.3120275867643;1024;1024;
1603541185.0856237;49.9;181.1;151.4;349.22667498043364;1024;1024;
1603541185.29974;38.4;224.4;157.3;354.5700768134859;0;0;
1603541185.513524;34.5;185.7;121.4;353.6274820955541;-1024;1024;
1603541185.7399406;35.1;187.9;52.0;355.1761595153207;-1024;1024;
1603541185.9673254;37.4;188.7;43.7;342.7834595349932;-1024;1024;
1603541186.1820343;253.5;191.1;35.2;310.9885691108402;-1024;1024;
1603541186.3955026;116.2;188.5;33.0;302.4625162425371;0;0;
1603541186.6091714;193.0;194.4;31.6;277.24689381581186;1024;1024;
1603541186.821903;195.6;167.4;31.5;259.1322696413448;1024;1024;
1603541187.0362668;196.0;164.0;32.0;265.33547344986613;1024;-1024;
1603541187.2497547;179.1;196.0;34.8;259.8520789094147;0;0;
1603541187.4623547;111.0;187.2;33.3;268.40846829300256;0;0;
1603541187.675208;111.9;186.3;32.9;278.66892111093836;0;0;
1603541187.8887906;109.7;186.8;32.9;277.3068682108543;1024;1024;
1603541188.1022327;109.1;194.1;35.9;277.6373957929337;1024;1024;
1603541188.315995;106.8;186.4;35.2;280.0535414904003;1024;1024;
1603541188.5292528;203.6;193.7;34.7;277.07918399943185;1024;1024;
1603541188.7439969;194.8;199.7;33.8;275.44913111306016;1024;1024;
1603541188.9569983;185.4;314.1;32.5;273.37413534796474;1024;1024;
1603541189.1706314;178.1;313.6;32.1;274.28843136137226;1024;1024;
1603541189.3840737;169.0;316.3;31.2;272.7820178620529;1024;1024;
1603541189.597794;165.2;315.0;30.9;273.16232505105165;1024;1024;
1603541189.8114974;156.2;315.8;30.5;271.2590276337394;1024;1024;
1603541190.0255034;147.0;317.8;26.2;272.7427544994131;1024;1024;
1603541190.2384613;142.0;235.6;29.4;274.2774701196111;1024;1024;
1603541190.452355;132.7;235.6;28.7;270.73899280291494;1024;1024;
1603541190.6668363;124.1;225.6;28.1;282.1964856767195;1024;1024;
1603541190.8806171;120.2;230.6;27.8;277.9518133372944;1024;1024;
1603541191.093329;111.3;229.8;30.6;281.6859087739056;1024;1024;
1603541191.2955537;101.9;223.9;145.4;282.8696836314871;0;0;
1603541191.5103443;98.9;222.1;143.7;281.6515952256298;1024;-1024;
1603541191.7241495;97.7;198.5;147.4;271.83719714200697;1024;-1024;
1603541191.9378586;110.6;129.6;139.7;291.2187473999436;1024;-1024;
1603541192.150431;118.3;76.5;138.4;308.8665154183316;1024;-1024;
1603541192.3648627;127.7;98.2;137.7;333.72898245104113;0;0;
1603541192.5786345;153.0;95.3;140.8;14.676365828966311;0;0;
